ARA,ASSET,ATO,ROA,GROWH,LEV,SHARE,ST
0.19231,19.85605,0.0052,0.08771,-0.95073,0.44588,26.89,0
0.22012,20.91086,0.0056,0.01682,-0.94266,0.398686,39.62,0
0.325292,19.35262,0.0166,0.042468,-0.93744,0.303348,26.46,0
0.025729,21.43893,0.0028,0.018152,-0.853,0.75825,60.16,0
0.533591,21.61334,0.2552,0.004147,-0.8167,0.726875,54.24,1
0.061275,21.01117,0.1248,0.051081,-0.81029,0.40175,57.14,0
0.441472,20.51676,0.0785,0.060003,-0.80149,0.422824,29,0
0.213081,20.61706,0.0606,0.029295,-0.75594,0.559263,29.82,0
0.416293,20.51604,0.4747,0.090225,-0.72622,0.569279,36.15,1
0.010404,21.3777,0.0643,0.061089,-0.67999,0.375268,49.87,0
0.634684,20.2088,0.112,0.032006,-0.67366,0.490132,27.27,0
0.501477,20.57185,0.0674,0.051879,-0.64986,0.242655,30.58,0
0.06831,20.5835,0.1187,0.111056,-0.63264,0.380344,52.5,0
0.042897,20.03443,0.1039,0.024356,-0.59398,0.638925,52.29,1
0.05264,21.86493,0.1337,0.030484,-0.59201,0.448451,37.56,0
0.088087,20.24541,0.1623,0.10132,-0.57935,0.211571,45.38,0
0.29588,22.07105,0.2342,0.005125,-0.53764,0.223573,40.9,1
0.190728,19.46522,0.1685,0.102029,-0.51267,0.282113,36.08,0
0.257361,18.74807,0.1369,0.004356,-0.47941,0.381629,39.76,0
0.074186,19.14822,0.3531,0.042992,-0.47616,0.285056,21.86,0
0.254941,20.30679,0.1517,0.038957,-0.46206,0.371938,27.27,0
0.081732,21.29017,0.1568,0.038571,-0.46198,0.650365,42.57,0
0.147519,20.06997,0.4337,0.014663,-0.45499,0.408204,48.77,0
0.056317,20.57639,0.2439,0.073575,-0.45246,0.282639,52.64,0
0.130169,20.18565,0.1772,0.01322,-0.44833,0.571938,24.09,0
0.096421,20.42817,0.2554,0.050458,-0.44474,0.213924,28.7,0
0.292691,20.83601,0.3668,0.077584,-0.43773,0.149051,25.5,0
0.058177,19.57387,0.6248,0.054348,-0.43459,0.484752,29.59,0
0.304057,20.32121,0.1657,0.056303,-0.42956,0.340467,30.8,0
0.087172,20.68162,0.0824,0.036496,-0.42791,0.458788,32.48,1
